Model,Test Case,# of Waypoints,Error distance (Source),Time to destination (Source),Balancing (Source),Distance to the car Source,Source exec time
purePursuitUSCity,37,72,1.650411532,33.64,0.858697451,31.6227766,10.9380798
purePursuitUSCity,38,91,4.872552457,99999,1.60831012,31.6227766,22.1528922
purePursuitUSCity,39,41,1.28285198,66.13,0.741122743,31.6227766,16.3618098
purePursuitUSCity,40,51,4.004351688,61.94,1.503255787,31.6227766,15.889627
purePursuitUSCity,41,31,0.05378507,6.61,0.012445085,31.6227766,6.2911093
purePursuitUSCity,42,91,22.59170448,87.56,1.416039365,31.6227766,20.2664756
purePursuitUSCity,43,21,0.030077826,3.73,0.011208829,31.6227766,5.7936671
purePursuitUSCity,44,42,0.159357887,29.55,0.079502591,31.6227766,14.5878917
purePursuitUSCity,45,31,0.99862347,38.95,0.836095406,31.6227766,11.8507329
purePursuitUSCity,46,51,5.483651435,29.07,1.341141127,31.6227766,10.2283054
purePursuitUSCity,47,61,22.8703793,94.93,2.439426481,31.6227766,21.8692108
purePursuitUSCity,48,21,2.521213442,9.22,0.098074469,31.6227766,6.7887418
purePursuitUSCity,49,21,0.004608532,35.27,3.10028E-08,31.6227766,8.3779332
purePursuitUSCity,50,31,1.236614184,31.28,0.881553193,31.6227766,10.5683071
purePursuitUSCity,51,31,0.585691702,15.18,0.153747504,31.6227766,5.0443075
purePursuitUSCity,52,42,1.633046747,48.96,0.528674283,31.6227766,13.529851
purePursuitUSCity,53,92,5.449093453,73.09,1.05328753,31.6227766,17.7549452
purePursuitUSCity,54,41,4.901898285,52.21,1.06725858,31.6227766,13.9782156
purePursuitUSCity,55,11,0.005466697,14.88,0,31.6227766,7.648532
purePursuitUSCity,56,61,2.698699449,45.62,1.916466358,31.6227766,13.0183577
purePursuitUSCity,57,52,1.789410999,30,0.903804573,31.6227766,10.2926702
purePursuitUSCity,58,51,22.69227528,55.07,2.630212622,31.6227766,14.5687845
purePursuitUSCity,59,51,1.404115417,55.6,1.085424714,31.6227766,11.707359
purePursuitUSCity,60,72,1.699530663,34.29,0.935289797,31.6227766,11.1235231
purePursuitUSCity,61,41,1.619628667,33.14,0.788571794,31.6227766,10.8540266
purePursuitUSCity,62,81,4.620823497,34.68,1.417158684,31.6227766,11.135047
purePursuitUSCity,63,41,1.466298095,50.08,0.851976603,31.6227766,13.6002642
purePursuitUSCity,64,51,1.248143806,48.93,0.560184649,31.6227766,13.4644352
purePursuitUSCity,65,31,1.318786441,41.95,0.385815077,31.6227766,12.1626449
