testcase,distance
425,40.2039
426,317.17
427,419.989
428,410.1841
429,674.8847
430,537.5878
431,181.0489
432,388.3639
433,441.2024
434,121.3165
435,552.4436
436,561.5574
437,314.7378
438,205.2402
439,385.8515
440,230.7086
441,185.5323
442,298.733
443,31.8411
444,309.3538
445,500.8932
446,493.6344
447,385.6973
448,347.0484
449,105.9101
450,203.3328
451,424.114
452,40.33
453,625.7208
454,668.9243
455,396.9364
456,330.0547
457,185.6915
458,354.1764
459,313.0604
460,75.6715
461,313.3521
462,362.7926
463,295.1962
464,258.9348
465,723.8858
466,388.519
467,232.578
468,304.9052
469,62.1674
470,257.6261
471,188.4868
472,328.1679
473,373.1562
474,476.7142
475,541.4307
476,367.3934
477,36.383
478,593.708
479,336.0637
480,422.0646
481,423.9822
482,399.5353
483,121.9104
484,353.0559
485,40.33
486,148.33
487,439.4958
488,407.5046
489,564.6152
490,296.9728
491,326.2234
492,446.5583
493,143.9573
494,458.6639
495,208.5032
496,254.2096
497,331.3583
498,151.0755
499,304.8294
500,40.2039
501,610.7346
502,246.0301
503,220.9576
504,677.6498
505,409.3896
506,259.68
507,447.3232
508,160.4979
509,410.1379
510,586.8802
511,198.6691
512,511.2122
513,221.032
514,392.2819
515,321.2883
516,216.5278
517,598.1736
518,206.0763
519,94.96
520,198.7172
521,309.8686
522,303.4993
523,259.6101
524,642.5118
525,125.6807
526,368.1444
527,438.4787
528,485.5737
529,591.8819
530,481.4849
531,634.3935
532,297.7717
533,460.506
534,529.977
535,410.1379
536,300.0045
537,417.5384
538,596.0918
539,507.5582
540,336.5092
541,447.4823
542,348.8224
543,278.9264
544,530.7014
545,306.7778
546,249.7832
547,294.7584
548,529.1082
549,277.18
550,187.4697
551,109.3023
552,413.999
553,583.4495
554,211.1508
555,411.7541
556,622.4083
557,323.8322
558,559.0651
559,176.1471
560,188.9994
561,463.1455
562,409.5841
563,387.3604
564,327.3696
565,300.5156
566,237.7582
567,51.2752
568,518.767
569,247.1727
570,95.3319
571,355.0829
572,677.5748
573,187.18
574,305.5052
575,393.2167
576,560.5101
577,401.8
578,32.8434
579,620.3198
580,349.9515
581,251.942
582,272.9553
583,101.689
584,591.4994
585,281.8144
586,80.8169
587,349.8396
588,56.17
589,138.8538
590,372.5826
591,528.6345
592,41.2
593,36.383
594,346.299
595,46.8301
596,167.7586
597,403.6684
598,546.85
599,310.2178
600,331.8611
601,348.0278
602,213.3623
603,422.7232
604,326.2749
605,510.4008
606,217.0346
607,467.4247
608,478.4279
609,229.8118
610,40.35
611,391.2134
612,677.9308
613,539.2143
614,719.8361
615,576.3329
616,519.2248
617,436.4245
618,83.2701
619,639.213
620,418.6726
621,541.9775
622,309.3538
623,448.8254
624,319.8853
625,671.2184
626,555.0041
627,283.7895
628,291.6662
629,720.4668
630,366.6538
631,366.1536
632,243.9881
633,20.1373
634,53.0291
635,206.7415
636,606.4325
637,359.1205
638,486.8567
639,196.3424
640,208.9286
641,403.8151
642,627.6369
643,39.55
644,505.5307
645,438.8107
646,426.4717
647,609.613
648,539.9682
649,239.5434
650,198.408
651,633.6751
652,503.3057
653,427.6829
654,580.4385
655,657.2408
656,501.3426
657,483.206
658,648.5808
659,144.8993
660,392.6797
661,419.619
662,411.6529
663,20.1373
664,238.3801
665,640.5843
666,199.2742
667,487.9366
668,103.4166
669,372.8468
670,559.8355
671,250.1212
672,242.0117
673,464.2389
674,724.8003
675,434.898
676,233.5052
677,421.9677
678,323.8687
679,198.7247
680,668.2564
681,111.8151
682,110.5
683,202.7584
684,114.4954
685,136.17
686,377.2017
687,9.8972
688,492.4591
689,241.5457
690,569.8335
691,272.2576
692,325.8689
693,135.7102
694,447.4823
695,321.9696
696,331.3717
697,528.8578
698,218.51
699,292.6524
700,867.6374
701,298.6664
702,360.6391
703,277.18
704,300.0045
705,328.2291
706,313.956
707,164.2216
708,567.1191
709,440.8708
710,302.9036
711,350.4924
712,173.6066
713,277.38
714,411.7105
715,98.3283
716,527.9867
717,535.6879
718,348.7041
719,409.3896
720,345.0118
721,108.0153
722,239.0529
723,219.38
724,228.9952
725,20.1569
726,166.3688
727,22.6335
728,522.569
